i,k,f1
251,-1,0.936
252,1,0.782
252,5,0.876
252,10,0.863
252,25,0.915
252,50,0.912
252,-1,0.953
253,1,0.439
253,5,0.816
253,10,0.86
253,25,0.867
253,50,0.873
253,-1,0.943
254,1,0.799
254,5,0.9
254,10,0.897
254,25,0.901
254,50,0.904
254,-1,0.942
255,1,0.568
255,5,0.832
255,10,0.871
255,25,0.904
255,50,0.905
255,-1,0.934
256,1,0.673
256,5,0.839
256,10,0.855
256,25,0.912
256,50,0.901
256,-1,0.949
257,1,0.77
257,5,0.816
257,10,0.855
257,25,0.89
257,50,0.909
257,-1,0.933
258,1,0.252
258,5,0.807
258,10,0.889
258,25,0.891
258,50,0.903
258,-1,0.924
259,1,0.765
259,5,0.86
259,10,0.874
259,25,0.911
259,50,0.896
259,-1,0.948
260,1,0.714
260,5,0.779
260,10,0.809
260,25,0.861
260,50,0.87
260,-1,0.919
261,1,0.783
261,5,0.813
261,10,0.892
261,25,0.909
261,50,0.915
261,-1,0.94
262,1,0.782
262,5,0.865
262,10,0.878
262,25,0.888
262,50,0.898
262,-1,0.936
263,1,0.502
263,5,0.847
263,10,0.87
263,25,0.886
263,50,0.894
263,-1,0.951
264,1,0.605
264,5,0.85
264,10,0.865
264,25,0.896
264,50,0.868
264,-1,0.936
265,1,0.33
265,5,0.895
265,10,0.901
265,25,0.875
265,50,0.896
265,-1,0.951
266,1,0.822
266,5,0.839
266,10,0.869
266,25,0.888
266,50,0.889
266,-1,0.928
267,1,0.743
267,5,0.861
267,10,0.872
267,25,0.915
267,50,0.929
267,-1,0.926
268,1,0.242
268,5,0.798
268,10,0.88
268,25,0.887
268,50,0.888
268,-1,0.929
269,1,0.64
269,5,0.882
269,10,0.903
269,25,0.904
269,50,0.919
269,-1,0.947
270,1,0.294
270,5,0.84
270,10,0.886
270,25,0.887
270,50,0.898
270,-1,0.939
271,1,0.274
271,5,0.822
271,10,0.867
271,25,0.899
271,50,0.925
271,-1,0.921
272,1,0.541
272,5,0.854
272,10,0.869
272,25,0.881
272,50,0.905
272,-1,0.944
273,1,0.339
273,5,0.747
273,10,0.743
273,25,0.831
273,50,0.872
273,-1,0.945
274,1,0.456
274,5,0.797
274,10,0.853
274,25,0.899
274,50,0.925
274,-1,0.942
275,1,0.806
275,5,0.873
275,10,0.897
275,25,0.91
275,50,0.907
275,-1,0.943
276,1,0.837
276,5,0.877
276,10,0.854
276,25,0.864
276,50,0.904
276,-1,0.943
277,1,0.739
277,5,0.792
277,10,0.876
277,25,0.885
277,50,0.906
277,-1,0.942
278,1,0.643
278,5,0.755
278,10,0.834
278,25,0.871
278,50,0.921
278,-1,0.947
279,1,0.708
279,5,0.848
279,10,0.872
279,25,0.864
279,50,0.889
279,-1,0.944
280,1,0.822
280,5,0.84
280,10,0.858
280,25,0.884
280,50,0.89
280,-1,0.935
281,1,0.747
281,5,0.854
281,10,0.884
281,25,0.896
281,50,0.911
281,-1,0.924
282,1,0.687
282,5,0.81
282,10,0.887
282,25,0.898
282,50,0.901
282,-1,0.931
283,1,0.625
283,5,0.827
283,10,0.832
283,25,0.873
283,50,0.907
283,-1,0.939
284,1,0.781
284,5,0.747
284,10,0.82
284,25,0.893
284,50,0.905
